Stage:,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00,02:30,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
02:00,04:30,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
04:00,06:30,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
06:00,08:30,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
08:00,10:30,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
10:00,12:30,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
12:00,14:30,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
14:00,16:30,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
16:00,18:30,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
18:00,20:30,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
20:00,22:30,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
22:00,00:30,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
